time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-30T02:53:38.800Z,17.94,-66.8305,9,3.1,md,24,192,0.06,0.13,pr,pr2021030000,2021-01-30T06:33:26.546Z,"6 km S of Indios, Puerto Rico",earthquake,0.43,0.39,0.21,14,reviewed,pr,pr
2021-01-30T01:25:52.859Z,29.3374,128.7017,10,4.6,mb,,125,2.52,1,us,us6000derh,2021-02-06T00:07:49.040Z,"131 km NW of Naze, Japan",earthquake,4.6,1.9,0.119,23,reviewed,us,us
2021-01-30T01:02:42.300Z,61.493,-149.862,33,2.6,ml,,,,0.52,ak,ak0211dmqd3s,2021-01-30T07:09:59.002Z,"5 km ESE of Big Lake, Alaska",earthquake,,0.1,,,automatic,ak,ak
2021-01-30T00:51:38.050Z,-32.2541,-71.7502,66.01,4.2,mwr,,109,0.69,0.85,us,us6000dd3v,2021-02-01T04:07:33.083Z,"53 km WNW of La Ligua, Chile",earthquake,5.6,7.2,0.052,35,reviewed,us,us
2021-01-29T23:46:29.460Z,35.8973333,-117.6955,2.48,2.51,ml,35,33,0.06235,0.17,ci,ci39535487,2021-02-01T04:11:33.040Z,"20km ESE of Little Lake, CA",earthquake,0.15,0.25,0.159,86,reviewed,ci,ci
2021-01-29T23:44:58.530Z,17.9316,-66.8111,13,2.62,md,22,193,0.0808,0.22,pr,pr2021029014,2021-01-30T00:35:27.520Z,"Puerto Rico region",earthquake,0.66,0.36,0.18,14,reviewed,pr,pr
2021-01-29T22:33:50.047Z,14.1561,145.1772,109.31,4.6,mb,,66,0.638,0.64,us,us6000dd3m,2021-01-30T23:41:22.076Z,"75 km NNE of Yigo Village, Guam",earthquake,7.3,5.8,0.07,61,reviewed,us,us
2021-01-29T19:47:55.905Z,-13.963,121.8415,10,5.6,mww,,25,4.808,1.08,us,us6000dd2i,2021-01-30T19:51:15.057Z,"northwest of Australia",earthquake,5.7,1.7,0.06,27,reviewed,us,us
2021-01-29T19:31:28.876Z,2.6278,126.7698,18.55,4.6,mb,,105,1.937,0.83,us,us6000dd2d,2021-01-29T21:46:50.040Z,"170 km NW of Tobelo, Indonesia",earthquake,7.9,5.1,0.107,28,reviewed,us,us
2021-01-29T19:23:38.515Z,7.1192,-72.0935,20.96,4.7,mb,,110,1.565,0.73,us,us6000dd2a,2021-01-31T19:25:30.631Z,"12 km N of Cubará, Colombia",earthquake,5.3,6,0.079,51,reviewed,us,us
2021-01-29T19:10:06.900Z,19.3958333333333,-155.442833333333,8.13,3.24,ml,55,39,,0.11,hv,hv72334707,2021-01-29T20:15:39.752Z,"21 km N of Pāhala, Hawaii",earthquake,0.26,0.41,0.184335981844999,30,reviewed,hv,hv
2021-01-29T18:52:35.720Z,17.9213,-65.6818,7,2.68,md,4,242,0.2182,0.04,pr,pr2021029013,2021-01-29T19:39:24.703Z,"22 km SE of El Negro, Puerto Rico",earthquake,1.78,1.27,0.15,3,reviewed,pr,pr
2021-01-29T18:27:52.265Z,51.3428,177.6237,41.06,4.2,mb,,136,2.239,0.65,us,us6000dd3t,2021-01-30T17:04:55.040Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,3.3,7.8,0.065,73,reviewed,us,us
2021-01-29T16:33:43.180Z,19.2691666666667,-155.799666666667,9.16,3.24,ml,53,109,,0.13,hv,hv72334632,2021-02-02T00:23:14.028Z,"21 km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.41,0.31,0.116897777122242,21,reviewed,hv,hv
2021-01-29T16:30:12.370Z,19.2666666666667,-155.804833333333,8.91,3.07,ml,46,171,,0.13,hv,hv72334627,2021-01-29T18:26:38.882Z,"21 km SSE of Honaunau-Napoopoo, Hawaii",earthquake,0.52,0.28,0.116018991037718,23,reviewed,hv,hv
2021-01-29T16:23:07.095Z,31.5812,-103.9881,6.17,2.7,ml,,62,0.234,0.32,us,us6000dczu,2021-01-29T17:31:12.040Z,"34 km NNW of Toyah, Texas",earthquake,1.2,4.1,0.06,58,reviewed,us,us
2021-01-29T14:32:59.872Z,34.6859,24.9624,10,4.2,mb,,122,0.603,0.81,us,us6000dcyx,2021-02-06T06:56:43.040Z,"39 km SSW of Pýrgos, Greece",earthquake,5.7,1.9,0.118,20,reviewed,us,us
2021-01-29T14:10:39.834Z,-61.7259,-55.3187,10,5.2,mb,,54,1.66,0.71,us,us6000dcxt,2021-01-29T14:29:46.040Z,"South Shetland Islands",earthquake,6.1,1.6,0.07,69,reviewed,us,us
2021-01-29T14:10:21.133Z,-4.8175,126.7329,420.11,4.3,mb,,70,5.45,0.61,us,us6000dcxs,2021-02-06T06:38:16.040Z,"203 km SW of Ambon, Indonesia",earthquake,11.3,9.4,0.119,20,reviewed,us,us
2021-01-29T14:00:02.500Z,38.9151667,-122.8808333,4.46,2.52,md,62,100,0.0567,0.07,nc,nc73518005,2021-02-02T14:00:45.040Z,"8km SSW of Kelseyville, CA",earthquake,0.16,0.41,0.189,48,reviewed,nc,nc
2021-01-29T13:54:40.608Z,-61.8129,-55.4615,10,4.8,mb,,64,1.568,1.13,us,us6000dcxq,2021-01-29T14:17:58.040Z,"South Shetland Islands",earthquake,8,1.9,0.103,29,reviewed,us,us
2021-01-29T13:34:15.922Z,59.9838,-140.7889,8.3,3,ml,,,,0.8,ak,ak0211c6j0t0,2021-02-02T13:19:38.040Z,"76 km NW of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-01-29T13:29:10.293Z,-8.1589,121.4994,239.34,4.1,mb,,80,0.87,0.81,us,us6000dcxf,2021-02-02T13:32:14.040Z,"77 km NNW of Ende, Indonesia",earthquake,9.4,6,0.174,9,reviewed,us,us
2021-01-29T13:23:26.183Z,8.2289,-82.9922,10,4.7,mb,,150,0.371,0.68,us,us6000dcxa,2021-01-29T13:48:05.040Z,"15 km WSW of Puerto Armuelles, Panama",earthquake,3.5,1.5,0.118,22,reviewed,us,us
2021-01-29T13:14:44.904Z,8.2765,-82.9539,10,5.5,mww,,76,0.385,0.74,us,us6000dcx7,2021-01-30T13:19:00.023Z,"10 km W of Puerto Armuelles, Panama",earthquake,5.1,1.8,0.043,51,reviewed,us,us
2021-01-29T13:00:08.740Z,38.914,-122.8808333,4.95,2.97,ml,67,79,0.05554,0.07,nc,nc73517925,2021-02-03T05:16:25.026Z,"8km SSW of Kelseyville, CA",earthquake,0.13,0.33,0.15,40,reviewed,nc,nc
2021-01-29T12:41:39.155Z,8.1941,-82.9664,10,5.6,mww,,82,0.41,0.74,us,us6000dcx1,2021-01-30T12:45:00.915Z,"14 km SW of Puerto Armuelles, Panama",earthquake,5,1.8,0.068,21,reviewed,us,us
2021-01-29T12:16:19.218Z,59.6114,-138.8648,5.5,2.7,ml,,,,0.96,ak,ak0211c5tqj8,2021-01-30T11:56:46.040Z,"49 km E of Yakutat, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-01-29T12:03:18.190Z,17.9326,-66.834,11,2.5,md,21,207,0.062,0.11,pr,pr2021029011,2021-01-29T13:22:23.984Z,"6 km SSW of Indios, Puerto Rico",earthquake,0.46,0.38,0.24,8,reviewed,pr,pr
2021-01-29T11:23:28.861Z,8.2438,-83.0096,11.31,4.9,mb,,134,0.348,0.73,us,us6000dcwl,2021-01-29T13:03:31.284Z,"16 km WSW of Puerto Armuelles, Panama",earthquake,6.3,4.9,0.037,231,reviewed,us,us
2021-01-29T11:18:00.370Z,17.9178,-66.8991,3,2.88,md,18,205,0.0607,0.27,pr,pr2021029008,2021-01-29T11:56:00.819Z,"6 km S of Guánica, Puerto Rico",earthquake,0.63,0.72,0.28,7,reviewed,pr,pr
2021-01-29T10:40:57.314Z,-31.2597,-179.2701,200.05,4.7,mb,,82,2.319,0.69,us,us6000dcwh,2021-01-29T11:26:47.040Z,"Kermadec Islands region",earthquake,12.6,7.5,0.08,48,reviewed,us,us
2021-01-29T10:13:02.339Z,-39.4287,-75.0863,10,4.2,mb,,170,1.358,0.96,us,us6000dcuw,2021-01-29T11:07:13.040Z,"150 km WNW of Corral, Chile",earthquake,5,1.9,0.263,4,reviewed,us,us
2021-01-29T09:58:08.190Z,17.9835,-66.8358,13,2.51,md,9,198,0.2089,0.06,pr,pr2021029006,2021-01-30T01:58:48.754Z,"2 km SW of Indios, Puerto Rico",earthquake,0.52,0.26,0.23,5,reviewed,pr,pr
2021-01-29T09:43:13.490Z,-31.3606,-64.7598,10,4,mb,,113,3.358,1.01,us,us6000dcun,2021-01-30T00:34:44.196Z,"22 km NW of Cuesta Blanca, Argentina",earthquake,11.2,2,0.197,7,reviewed,us,us
2021-01-29T07:54:25.001Z,66.3938,-157.5475,2.3,3,ml,,,,0.83,ak,ak0211c32qj6,2021-01-29T08:27:43.040Z,"58 km SSW of Shungnak, Alaska",earthquake,,1.1,,,automatic,ak,ak
